Key,Name,Latitude,Longitude,Description,Contact,Hours,Link,Services
1,Freewheel,43.06669875,-89.40378926,"A nonprofit community bike shop offering free tools, hands-on repair classes, and donated bikes to support accessible transportation in Madison.",16086989205,Check website for current open shop hours,https://freewheelbikes.org,"Bike Repair, Bike Donation, Tool Lending, DIY Mechanics, Transportation Access, Walk-In, For Kids"
2,St. Vincent de Paul Food Pantry,43.04316625,-89.40340562,"A drive-up food pantry providing fresh produce, meat, dairy, dry goods, personal care items, and emergency financial assistance to those in need.",16082570919,"Mon–Tue & Fri: 10:30 AM–2:30 PM; Thu: 2:30–6:00 PM; Wed, Sat, Sun: Closed",https://svdpmadison.org/program/food-pantry/,"Food Pantry, Fresh Produce, Meat & Dairy, Dry Goods, Personal Care Items, Pet Food, Emergency Food, Hunger Relief, Rent Assistance, Utility Assistance, Bus Fare, Walk-In"
3,Second Harvest Foodbank,43.05814765,-89.29586235,A regional food bank hub that distributes food to partner pantries and organizations across southern Wisconsin to address hunger in the community.,16082239121,Mon–Thu: 8:00 AM–4:30 PM; Fri: 8:00 AM–4:00 PM; Sat–Sun: Closed,https://www.secondharvestsw.org/,"Food Pantry, Fresh Produce, Dry Goods, Hunger Relief, Emergency Food"
4,Neighborhood House Community Center,43.06673468,-89.40379402,"A welcoming community center offering a food pantry, social services, youth programs, and other resources to support diverse families in the Madison area.",16082555337,"Mon, Wed–Thu: 9:30 AM–9:00 PM; Tue: 9:30 AM–8:00 PM; Fri: 9:30 AM–6:00 PM; Sun: 10:00 AM–12:00 PM; Sat: Closed",http://www.neighborhoodhousemadison.org/,"Food Pantry, Fresh Produce, Meat & Dairy, Dry Goods, Hunger Relief, Community Programs, For Kids"
5,Madison Public Library - Goodman South Madison,43.04140901,-89.39447724,"A south Madison library branch offering free WiFi, books, programs, seed lending, and community resources in an accessible neighborhood location.",16082666395,Mon–Fri: 10:00 AM–8:00 PM; Sat: 9:00 AM–5:00 PM; Sun: Closed,http://www.madisonpubliclibrary.org/goodman-south,"Free WiFi, Computer Access, Study Space, Printing, Community Programs, Media Lending, Seed Library, Walk-In, For Kids"
6,Madison Public Library - Central,43.07376503,-89.38735887,"The main Madison Public Library branch, offering WiFi, an extensive book collection, community programs, kids' play areas, and access to all branch services.",16082666300,Mon–Thu: 9:00 AM–9:00 PM; Fri: 9:00 AM–6:00 PM; Sat: 9:00 AM–5:00 PM; Sun: 1:00–5:00 PM,https://www.madisonpubliclibrary.org/central,"Free WiFi, Computer Access, Study Space, Printing, Community Programs, Media Lending, Walk-In, For Kids"
7,Monona Public Library,43.0627934,-89.34078763,"A highly rated public library in Monona with free WiFi, study rooms, a fireplace lounge, and a scenic park view — open seven days a week.",16082247100,Mon–Wed: 9:00 AM–8:00 PM; Thu–Fri: 9:00 AM–6:00 PM; Sat: 9:00 AM–5:00 PM; Sun: 1:00–5:00 PM,https://www.cityofmonona.com/government/departments/library,"Free WiFi, Computer Access, Study Space, Printing, Community Programs, Media Lending, Walk-In, For Kids"
8,Madison Public Library - Pinney,43.08412444,-89.31787662,"A well-loved east Madison library branch offering free WiFi, a large collection, children's programming, and emergency bike repair tools outside.",16082247100,Mon–Fri: 9:00 AM–9:00 PM; Sat: 9:00 AM–5:00 PM; Sun: Closed,https://www.madisonpubliclibrary.org/pinney,"Free WiFi, Computer Access, Study Space, Printing, Community Programs, Media Lending, Bike Repair, Walk-In, For Kids"
9,The Bicycle Recycle,43.10116785,-89.33399328,"A beloved community bike shop selling affordable refurbished bikes with warranties, offering expert tune-ups and encouraging bike donations for a second life.",16084513403,"Tue, Fri–Sat: 10:30 AM–5:00 PM; Wed–Thu: 10:30 AM–3:30 PM; Mon & Sun: Closed",https://www.facebook.com/thebicyclerecycle,"Bike Repair, Bike Donation, Transportation Access"
10,Bikes for Kids Wisconsin,43.0407451,-89.37235827,"A nonprofit that provides free and low-cost refurbished bikes to children and adults in financial need, while also offering quality used bikes and repairs to the public.",16084050385,Mon–Thu: 10:00 AM–5:00 PM; Fri: 10:00 AM–4:00 PM; Sat–Sun: Closed,https://bikesforkidswisconsin.org,"Bike Repair, Bike Donation, Transportation Access, For Kids"
11,Quann Community Garden,43.04605967,-89.38854147,A community garden in south Madison offering affordable plot rentals for residents to grow their own food in a welcoming outdoor space.,16082513115,Open 24 hours,https://www.cityofmadison.com/parks/find-a-park/facility?id=1178,"Plot Rental, Fresh Produce, Urban Farming, Outdoor Space"
12,Brittingham Community Garden,43.06493726,-89.39602478,A membership-based community garden near Brittingham Park where residents can rent plots to grow produce in a beautiful shared green space.,16082664711,Daily: 4:00 AM–10:00 PM,https://www.cityofmadison.com/parks/find-a-park/facility?id=1170,"Plot Rental, Fresh Produce, Urban Farming, Outdoor Space"
13,Reynolds Community Garden,43.08034552,-89.37899262,"A city-run community garden on the east side of Madison where residents can lease plots to grow their own fruits, vegetables, and herbs.",,Check with City of Madison Parks,https://www.cityofmadison.com/parks,"Plot Rental, Fresh Produce, Urban Farming, Outdoor Space"
14,Lansing Food Forest,43.09399255,-89.33146382,A growing urban food forest in northeast Madison designed to provide a community-tended edible landscape with fruit trees and sustainable plantings.,16086099320,Open 24 hours,https://wisconsinfoodforests.com,"Food Forest, Fresh Produce, Urban Farming, Volunteer Gardening, Outdoor Space"
15,St. Paul Community Gardens,43.10110968,-89.33480962,A community garden on Madison's north side offering plot rentals to local residents for growing vegetables and building neighborhood connections.,,Check with City of Madison Parks,https://www.cityofmadison.com/parks,"Plot Rental, Fresh Produce, Urban Farming, Outdoor Space"
16,McCormick Community Garden,43.10808548,-89.34124564,A north Madison community garden space where neighbors can grow fresh produce and connect with other local gardeners.,16082464730,Check with City of Madison Parks,https://www.cityofmadison.com/parks,"Plot Rental, Fresh Produce, Urban Farming, Outdoor Space"
17,The Beacon,43.07865574,-89.37792838,"A day resource center for people experiencing homelessness in Madison, providing showers, case management, Medicaid navigation, and pathways to permanent housing.",16088268040,Daily: 8:00 AM–5:00 PM,https://thebeaconhelps.org,"Day Shelter, Showers, Case Management, Housing Navigation, Medicaid Enrollment, Walk-In"
18,The Porchlight,43.07801495,-89.37863197,"A nonprofit providing emergency shelter, transitional housing, and supportive services to help adults experiencing homelessness in the Madison area.",16082572534,Mon–Fri: 8:00 AM–4:30 PM; Sat–Sun: Closed,https://porchlightinc.org,"Emergency Shelter, Transitional Housing, Case Management, Housing Navigation"
19,YWCA Madison,43.07635313,-89.38389748,A downtown Madison organization providing affordable housing for women and supportive services focused on eliminating racism and empowering women.,16082571436,Open 24 hours,https://ywcamadison.org,"Transitional Housing, Emergency Shelter, Case Management"
20,Road Home Dane County,43.04987378,-89.39761347,"A nonprofit offering case management, housing navigation, and supportive services to help individuals and families in Dane County move out of homelessness.",16082947998,Mon–Fri: 8:30 AM–4:30 PM; Sat–Sun: Closed,https://trhome.org,"Emergency Shelter, Transitional Housing, Case Management, Housing Navigation, For Kids"
21,Safe Haven,43.10871084,-89.31589667,A Porchlight-operated shelter providing housing support and case management services for adults experiencing homelessness in the Madison area.,16082419447,Mon–Sun: 8:30 AM–5:00 PM,https://porchlightinc.org,"Emergency Shelter, Case Management, Housing Navigation"
22,Men's Emergency Drop-In Shelter,43.12552228,-89.30103773,"A Porchlight-operated overnight emergency shelter for adult men, providing beds, meals, and showers on a nightly drop-in basis.",16084161446,Daily: 4:30 PM–8:00 AM,https://porchlightinc.org,"Emergency Shelter, Overnight Stay, Showers, Walk-In"
23,End Domestic Abuse Wisconsin,43.08922014,-89.36434392,"A statewide advocacy organization working to prevent domestic abuse through policy, training, and support for survivors and local programs across Wisconsin.",16082550539,Check website for current hours,http://endabusewi.org/,"Domestic Violence Support, Case Management, Housing Navigation"
24,Tenney Preschool and Childcare,43.08863119,-89.36617765,"A parent cooperative preschool offering nature-based early childhood education and childcare for children ages 2–5 in a warm, community-oriented environment.",16082553250,Mon–Fri: 7:30 AM–5:00 PM; Sat–Sun: Closed,http://tenneykids.org/,"Preschool, After-School Care, Nature Education, For Kids"
25,Ronald McDonald House,43.07507118,-89.43574662,"A home-away-from-home near UW Hospital providing free or low-cost lodging, meals, and support for families with children receiving medical treatment.",16082324660,Mon–Fri: 8:00 AM–9:00 PM; Sat–Sun: 9:00 AM–9:00 PM,http://www.rmhcmadison.org/,"Lodging Near Hospital, Meal Support, Family Housing, For Kids"
26,The Bodgery,43.10840838,-89.35565639,"Madison's community makerspace offering members access to woodworking, metalworking, laser cutting, screen printing, and other tools in a collaborative, volunteer-run environment.",18622634363,Check website for member open hours,http://www.thebodgery.org/,"Woodworking, Laser Cutting, Metalworking, Screen Printing, Tool Access, Workshops"
27,SSM Health Child Care Center,43.05860341,-89.40667335,"A licensed childcare center operated by SSM Health, providing weekday care for infants and young children near the hospital campus.",16082554880,Mon–Fri: 6:30 AM–5:30 PM; Sat–Sun: Closed,https://www.ssmhealth.com/locations/child-care-center,"Preschool, Infant Care, For Kids"
28,Sprouts Nature School,43.03026247,-89.44962208,"An outdoor nature-based preschool and after-school program in Madison that emphasizes hands-on exploration, play, and learning in natural environments.",,Mon–Fri: 9:00 AM–5:30 PM; Sat–Sun: Closed,https://sproutsnatureschool.com/,"Preschool, After-School Care, Nature Education, Summer Camp, For Kids"
29,Badger Contractors Rental & Supply,43.05028847,-89.39143781,"A locally trusted equipment rental and supply shop offering a wide range of contractor and DIY tools with knowledgeable, hands-on customer service.",16082572349,Mon–Fri: 7:00 AM–5:00 PM; Sat: 8:00–10:00 AM; Sun: Closed,http://www.badgercontractorsrental.com/,"Equipment Rental, Contractor Supply, DIY Tools, Tool Access"
30,Community Action Coalition for South Central Wisconsin,43.12319949,-89.31116073,"A social services agency providing emergency financial assistance, free clothing, housing support, and resources to low-income individuals and families in the region.",16082371255,Mon–Fri: 9:00 AM–3:00 PM; Sat–Sun: Closed,https://www.cacscw.org/,"Emergency Financial Assistance, Rent Assistance, Utility Assistance, Clothing, Case Management, For Kids"
31,Legal Action of Wisconsin,43.07800696,-89.37203227,"A nonprofit law firm providing free civil legal services to low-income individuals in Wisconsin, focusing on housing, benefits, and family law.",16082563304,Mon–Fri: 9:00 AM–5:00 PM; Sat–Sun: Closed,https://legalaction.org/,"Legal Consultation, Civil Rights, Tenant Rights, Benefits Appeals, Family Law, Eviction Prevention"
32,Dane County Law Library,43.07118155,-89.38414075,A public law library located in the Dane County Courthouse offering access to legal research materials and self-help resources for residents.,16082666316,Mon–Fri: 8:30 AM–4:30 PM; Sat–Sun: Closed,https://wilawlibrary.gov/,"Self-Help Legal, Law Library, Legal Consultation, Walk-In"
33,Community Justice Inc,43.07821194,-89.38422665,"A Madison law firm focused on civil rights and community advocacy, providing legal representation with an emphasis on compassion and social justice.",16082049642,Mon–Fri: 9:00 AM–5:00 PM; Sat–Sun: Closed,http://www.communityjusticeinc.org/,"Legal Consultation, Civil Rights, Tenant Rights, Family Law"
34,Advocacy and Benefits Counseling for Health,43.07074474,-89.39191421,"A nonprofit (ABC for Health) that helps individuals and families navigate health insurance enrollment, Medicaid, and hospital financial assistance programs.",16082616939,Mon–Fri: 8:30 AM–5:00 PM; Sat–Sun: Closed,http://www.safetyweb.org/,"Medicaid Enrollment, Health Insurance Navigation, Hospital Bill Assistance, Benefits Appeals"
35,Tenant Resource Center,43.09892964,-89.34824833,"A nonprofit offering free counseling, resources, and emergency rental assistance to both tenants and landlords navigating housing disputes and instability.",16082570006,Mon–Wed: 9:00 AM–6:00 PM; Thu: 9:00 AM–4:00 PM; Fri–Sun: Closed,http://www.tenantresourcecenter.org/,"Rental Assistance, Tenant Rights, Tenant Counseling, Landlord Mediation, Eviction Prevention"
36,Voces De La Frontera,43.05023582,-89.39510519,"A grassroots immigrant and worker rights organization advocating for fair wages, immigration justice, and civic engagement for Latino communities in Wisconsin.",14146431620,Check website for current office hours,https://vdlf.org/,"Immigration Advocacy, Civic Engagement, Wage Theft Support, Civil Rights, Spanish-Language"
37,Worker Justice Wisconsin Walk-In Clinic,43.05023898,-89.39504556,"A walk-in clinic offering free legal consultations and advocacy for low-wage workers facing wage theft, unsafe conditions, or other workplace violations.",16082550376,Mon–Fri: 9:00 AM–5:00 PM; Sat–Sun: Closed,http://workerjustice.org/,"Wage Theft Support, Workplace Safety, Legal Consultation, Civil Rights, Walk-In, Spanish-Language"
